historical_id,trade,job_description,location_zip,area,labor_hours,material_cost,final_rate_charged,difficulty_score,worker_id,customer_review_text
H063,Electrician,Garden focus light wiring underground,560102,HSR Layout,5.0,1000,3500,7,W107,Safe cabling
H064,Electrician,Installing CCTV cameras 4 channel,560066,Whitefield,6.0,800,2500,6,W110,Neat routing
H065,Plumber,Rainwater harvesting filter installation,560034,Koramangala,4.0,2500,4500,7,W101,Good setup
H066,Plumber,Fixing low pressure in shower,560076,BTM Layout,2.0,0,800,5,W104,Identified air lock
H067,Plumber,Replacing western commode full set,560003,Malleswaram,3.0,500,1800,6,W105,Clean installation
H068,Carpenter,Replacing window mosquito mesh,560100,Electronic City,1.5,300,700,3,W106,Tight fit
H069,Carpenter,Making custom shoe rack plywood,560024,Hebbal,8.0,1500,4500,7,W109,Good design
H070,Carpenter,Bed frame repair creaking sound,560098,RR Nagar,2.0,100,600,4,W112,Noise stopped
H071,AC Repair,Circuit board change Daikin,560038,Indiranagar,1.0,4500,5500,6,W201,Original part used
H072,AC Repair,Swing motor replacement,560041,Jayanagar,1.0,800,1200,4,W202,Flap moving now
H073,Maid,Post renovation deep cleaning,560102,HSR Layout,8.0,200,4000,8,W302,Removed all dust
H074,Maid,Office pantry cleaning and maintenance,560066,Whitefield,2.0,0,600,3,W303,Daily task
H075,Painter,Painting single door frame,560034,Koramangala,1.5,200,500,3,W401,Quick touchup
H076,Painter,Wall stenciling living room,560076,BTM Layout,5.0,600,3000,7,W402,Beautiful pattern
H077,Civil,Grouting bathroom tiles epoxy,560003,Malleswaram,4.0,800,2500,6,W501,Waterproof now
H078,Civil,fixing soap holder in wall,560100,Electronic City,0.5,0,300,2,W502,Firm
H079,Electrician,Checking wiring fault short circuit,560024,Hebbal,3.0,0,1500,8,W102,Traced the fault
H080,Plumber,Unclogging kitchen grease trap,560098,RR Nagar,2.0,0,1000,6,W105,Messy work done well
H081,Carpenter,Curtain rod installation 3 windows,560058,Peenya,1.5,100,600,3,W106,Levelled perfectly
H082,AC Repair,Remote sensor repair,560011,Jayanagar 4th Block,0.5,400,800,4,W203,Working from far now
H083,Maid,Window mesh cleaning vacuum,560078,JP Nagar,1.5,0,400,3,W301,Dust free
H084,Painter,Painting balcony railings,560043,Kalyan Nagar,3.0,400,1200,5,W403,Rust protection
H085,Civil,Replacing broken floor tile,560010,Rajajinagar,2.0,100,600,4,W503,Invisible patch
H086,AC Repair,AC water leakage inside room,560038,Indiranagar,1.5,0,750,5,W201,Drain pipe cleared
H087,Maid,Ironing clothes 20 pieces,560034,Koramangala,1.0,0,200,2,W303,Crisp ironing
H088,Electrician,Video door phone installation,560102,HSR Layout,2.0,0,1200,6,W107,Works on phone
H089,Plumber,Installing washing machine tap adapter,560066,Whitefield,0.5,150,450,2,W108,Leak free connection
H090,Carpenter,Drilling holes for wall hangings,560003,Malleswaram,0.5,0,300,1,W109,Perfect spots
H091,Civil,Building small ramp for bike,560100,Electronic City,3.0,800,1800,5,W501,Smooth slope
H092,Painter,Painting ceiling rose design,560024,Hebbal,2.0,200,900,5,W402,Highlighted well
H093,Maid,Cleaning ceiling fans 4 nos,560098,RR Nagar,1.5,0,500,4,W301,Wiped clean
H094,AC Repair,Gas topup R410A,560058,Peenya,0.5,1200,1800,4,W203,Cooling improved
H095,Electrician,Connecting home theater speaker wiring,560011,Jayanagar 4th Block,2.5,0,800,5,W110,Concealed wiring
H096,Plumber,Repairing leaking stop cock,560078,JP Nagar,0.5,200,500,3,W111,Drip stopped
H097,Carpenter,Fixing drawer channels,560043,Kalyan Nagar,1.0,300,700,4,W112,Smooth sliding
H098,Civil,Plastering internal wiring cuts,560010,Rajajinagar,2.0,100,700,4,W502,Covered well
H099,Painter,Varnish coating on wooden stairs,560037,Marathahalli,4.0,1000,3000,7,W403,Non slip finish
H100,Maid,Cleaning terrace garden floor,560001,MG Road,2.0,0,600,4,W302,Moss removed
